ma_id,tier,k_total,k_subset,invisible,full_pooled_estimate,full_se,full_ci_lower,full_ci_upper,full_tau2,full_i2,subset_pooled_estimate,subset_se,subset_ci_lower,subset_ci_upper,subset_tau2,subset_i2,reproduction_gap,precision_gap_ratio,sign_flip,heterogeneity_gap,full_recommendation,subset_recommendation,recommendation_change
CD006589_pub5_data__A1,participant,46,9,False,nan,2.272405778357456e-09,nan,nan,0.0,0.0,nan,5.2683560638617535e-09,nan,nan,0.0,0.0,False,nan,False,False,uncertain,uncertain,False
CD006589_pub5_data__A2,participant,22,4,False,nan,3.4185608308100964e-09,nan,nan,0.0,0.0,nan,8.603189426505949e-09,nan,nan,0.0,0.0,False,nan,False,False,uncertain,uncertain,False
CD006589_pub5_data__A3,participant,23,6,False,nan,3.5122373759078347e-09,nan,nan,0.0,0.0,nan,6.083373583314762e-09,nan,nan,0.0,0.0,False,nan,False,False,uncertain,uncertain,False
CD006589_pub5_data__A4,participant,8,3,False,nan,5.6321095378581745e-09,nan,nan,0.0,0.0,nan,8.603189426505949e-09,nan,nan,0.0,0.0,False,nan,False,False,uncertain,uncertain,False
CD006589_pub5_data__A7,participant,28,3,False,nan,2.92235814240849e-09,nan,nan,0.0,0.0,nan,8.603189426505949e-09,nan,nan,0.0,0.0,False,nan,False,False,uncertain,uncertain,False
CD006589_pub5_data__A8,participant,13,1,True,nan,4.492869147326998e-09,nan,nan,0.0,0.0,,,,,,,,,,,uncertain,,
CD006589_pub5_data__A9,participant,8,2,True,0.0780865533428243,0.06056150426776504,-0.04061399502199518,0.1967871017076438,0.0049554871300086355,0.13449988307206076,,,,,,,,,,,uncertain,,
CD006589_pub5_data__A10,participant,9,1,True,0.10461748592372126,0.05389279950790287,-0.0010124011117683684,0.2102473729592109,0.0030384820934992555,0.09994560263659034,,,,,,,,,,,uncertain,,
CD006589_pub5_data__A11,participant,7,2,True,0.4410536801750681,0.10811121811284378,0.22915569267389427,0.6529516676762419,0.0,0.0,,,,,,,,,,,harm,,
CD006689_pub3_data__A4,participant,16,7,False,-0.5104010339159559,0.09574603539185193,-0.6980632632839857,-0.32273880454792614,0.09175680171611741,0.3628326947533408,0.2625451761836259,0.2514624519201501,-0.23032122957986828,0.7554115819471201,0.29248452603866126,0.36478910844204493,True,2.626348452873379,True,False,benefit,uncertain,True
CD006689_pub3_data__A5,participant,15,6,False,-0.30092017574581564,0.12459996594104382,-0.5451361089902615,-0.05670424250136977,0.3208440033605555,0.5335581014117804,0.6274091420000489,0.4407428733699329,-0.2364468898050195,1.4912651738051173,0.0,0.0,True,3.537263192980938,True,True,uncertain,uncertain,False
CD006689_pub3_data__A6,participant,13,5,False,-0.4816535562511058,0.14614663239287254,-0.768100955741136,-0.1952061567610756,0.11025598452269951,0.2556713169635509,0.24952090602555968,0.4601874316388435,-0.6524464599865736,1.1514882720376929,0.0,0.0,True,3.1488062646682407,True,True,uncertain,uncertain,False
CD006689_pub3_data__A7,participant,17,7,False,-0.2188341083552622,0.12874537368798228,-0.4711750407837074,0.033506824073183034,0.023170598105986127,0.06360886219776044,0.16730326691049655,0.3732302399647201,-0.5642280034203548,0.898834537241348,0.0,0.0,True,2.8989798178632284,True,False,uncertain,uncertain,False
CD006689_pub3_data__A9,participant,14,5,False,0.023992736921620104,0.1603353114046553,-0.29026447343150424,0.3382499472747445,0.0,0.0,0.06210649875578482,0.5617288025382784,-1.0388819542192407,1.1630949517308105,0.0,0.0,True,3.5034628218645087,False,False,uncertain,uncertain,False
CD013303_pub2_data__A1,participant,11,0,True,-0.23836432830731497,0.6063490257822731,-1.4268084188405703,0.9500797622259405,0.0,0.0,,,,,,,,,,,uncertain,,
CD013303_pub2_data__A2,participant,9,0,True,-0.029755560620747877,0.23111426340483707,-0.4827395168942285,0.4232283956527328,0.0,0.0,,,,,,,,,,,uncertain,,
CD013303_pub2_data__A3,participant,13,0,True,0.3234156191429573,0.39059900286808136,-0.4421584264784822,1.0889896647643968,0.0,0.0,,,,,,,,,,,uncertain,,
CD013303_pub2_data__A4,participant,12,0,True,-0.027028687219238616,0.15601837689492423,-0.3328247059332901,0.27876733149481286,0.0016825523257450866,0.002957278628514755,,,,,,,,,,,uncertain,,
CD014573_data__A1,participant,3,0,True,-0.03412412716517698,1.1547173633817431,-2.2973701593933935,2.2291219050630398,0.0,0.0,,,,,,,,,,,uncertain,,
CD014573_data__A2,participant,4,0,True,0.010073267261951164,1.0000990397735714,-1.9501208506942487,1.9702673852181511,0.0,0.0,,,,,,,,,,,uncertain,,
CD015364_pub2_data__A41,participant,15,0,True,-0.3027229934309009,0.23646865421178878,-0.7662015556860069,0.1607555688242051,0.0,0.0,,,,,,,,,,,uncertain,,
CD015701_pub2_data__A1,participant,5,0,True,0.017245209561238987,0.07077060907352069,-0.12146518422286157,0.15595560334533953,0.01106472262308935,0.27988488768930714,,,,,,,,,,,uncertain,,
CD016347_data__A1,participant,6,0,True,-2.7300348120571662,0.4376100782763746,-3.5877505654788604,-1.872319058635472,0.0,0.0,,,,,,,,,,,benefit,,
CD015364_pub2_data__A32,participant,34,0,True,0.4868912019759527,0.02679748805062446,0.43436812539672875,0.5394142785551767,0.1352769527569698,0.8384658307545039,,,,,,,,,,,harm,,
CD004508_pub5_data__A9,participant,4,0,True,0.008856803382291011,1.0039643149326147,-1.9589132538856338,1.976626860650216,0.0,0.0,,,,,,,,,,,uncertain,,
CD015003_pub2_data__A1,participant,9,0,True,-0.14984475116096163,0.1311326529375785,-0.4068647509186155,0.10717524859669225,0.10965086119019571,0.3338985332059447,,,,,,,,,,,uncertain,,
CD009730_pub3_data__A15,participant,5,0,True,-0.6162995101576245,0.46526621867958645,-1.528221298769614,0.29562227845436495,0.39590439021510837,0.2592088888398866,,,,,,,,,,,uncertain,,
CD012712_pub2_data__A12,participant,14,0,True,-0.0417538700564984,0.2376614324670223,-0.5075702776918621,0.4240625375788653,0.0,0.0,,,,,,,,,,,uncertain,,
CD007131_pub5_data__A3,participant,23,0,True,0.41705398612505634,0.06791875549527605,0.2839332253543153,0.5501747468957974,0.31592384367470455,0.7289567615496789,,,,,,,,,,,harm,,
CD013342_pub2_data__A1,participant,60,0,True,-0.25870183481389913,0.26170458674483515,-0.7716428248337761,0.2542391552059778,0.0,0.0,,,,,,,,,,,uncertain,,
CD006404_pub5_data__A16,participant,3,1,True,-0.5689347820062488,0.22083634555406753,-1.001774019292221,-0.13609554472027646,0.16637685910599206,0.48844054513663687,,,,,,,,,,,uncertain,,
CD006140_pub3_data__A1,participant,10,0,True,nan,1.4901161193847519e-08,nan,nan,0.0,0.0,,,,,,,,,,,uncertain,,
CD016347_data__A5,participant,6,0,True,-0.42657088461524667,0.4944973503982807,-1.3957856913958768,0.5426439221653834,0.0,0.0,,,,,,,,,,,uncertain,,
CD001396_pub4_data__A16,participant,7,0,True,-0.19972890160597975,0.7605142028094335,-1.6903367391124693,1.2908789359005097,0.0,0.0,,,,,,,,,,,uncertain,,
CD006689_pub3_data__A11,participant,15,6,False,0.0775437295231266,0.15359014632883133,-0.2234929572813828,0.378580416327636,0.0,0.0,-0.28496783846451446,0.29343784915044635,-0.8601060227993893,0.2901703458703604,0.0,0.0,True,1.9105252268085338,True,False,uncertain,uncertain,False
CD014722_pub2_data__A13,participant,13,0,True,-0.06997081442989007,0.5571550873852928,-1.161994785705064,1.022053156845284,0.0,0.0,,,,,,,,,,,uncertain,,
CD009733_pub4_data__A5,participant,4,0,True,0.026561536320678928,0.9110826738268113,-1.759160504379871,1.812283577021229,0.0,0.0,,,,,,,,,,,uncertain,,
CD004667_pub6_data__A24,participant,12,0,True,-0.20078440672996598,0.1094475907867497,-0.41530168467199535,0.01373287121206343,0.0,0.0,,,,,,,,,,,uncertain,,
CD004736_pub6_data__A53,participant,21,0,True,-1.1705659708657143,0.0973365232849893,-1.3613455565042933,-0.9797863852271353,0.4405988019141018,0.6159548975536588,,,,,,,,,,,benefit,,
CD015383_pub2_data__A4,participant,5,0,True,0.178035307447621,0.9186977085111726,-1.6226122012342772,1.9786828161295194,0.0,0.0,,,,,,,,,,,uncertain,,
CD007674_pub3_data__A6,participant,14,0,True,0.6588941533967072,0.14561083649745193,0.3734969138617014,0.9442913929317129,0.2588779124345687,0.453305583326344,,,,,,,,,,,harm,,
CD011866_pub3_data__A7,participant,19,2,True,-0.03261077648296497,0.46223480914448617,-0.9385910024061578,0.8733694494402279,0.0,0.0,,,,,,,,,,,uncertain,,
CD014967_pub2_data__A11,participant,3,0,True,0.9287218904734311,0.7133480403732618,-0.469440268658162,2.3268840496050243,0.0,0.0,,,,,,,,,,,uncertain,,
CD013284_pub2_data__A8,participant,3,0,True,0.022748096964113288,1.1605401932853108,-2.251910681875096,2.2974068758033224,0.0,0.0,,,,,,,,,,,uncertain,,
CD000402_pub5_data__A6,participant,23,0,True,1.2023208659352551,0.10983607498068947,0.9870421589731038,1.4175995728974065,1.4849416015225179,0.8379342227694225,,,,,,,,,,,harm,,
CD011793_pub3_data__A13,participant,9,0,True,0.21329148331157674,0.1488793609314,-0.07851206411396724,0.5050950307371207,0.0,0.0,,,,,,,,,,,uncertain,,
CD008176_pub3_data__A10,participant,83,0,True,-0.19671096271575975,0.2222407569600967,-0.6323028463575493,0.23888092092602978,0.0,0.0,,,,,,,,,,,uncertain,,
CD015284_pub2_data__A1,participant,19,0,True,0.2488855228816409,0.10377608593207034,0.04548439445478303,0.45228665130849877,0.0,0.0,,,,,,,,,,,uncertain,,
CD006023_pub4_data__A23,participant,14,0,True,0.06876619751714447,0.42595583945204407,-0.766107247808862,0.9036396428431508,0.0,0.0,,,,,,,,,,,uncertain,,
CD015875_data__A11,participant,6,0,True,nan,6.664001874625056e-09,nan,nan,0.0,0.0,,,,,,,,,,,uncertain,,
CD015215_pub2_data__A48,participant,9,0,True,-0.03614851411631109,0.6686723378105249,-1.34674629622494,1.2744492679923176,0.0,0.0,,,,,,,,,,,uncertain,,
CD006023_pub4_data__A21,participant,16,0,True,-0.055990225736565626,0.4234421773111288,-0.8859368932663781,0.7739564417932469,0.0,0.0,,,,,,,,,,,uncertain,,
CD011225_pub2_data__A12,participant,3,0,True,-2.051497583149256,0.3019187200560119,-2.643258274459039,-1.4597368918394726,0.20442765847524663,0.42685569291542136,,,,,,,,,,,benefit,,
CD014852_pub2_data__A18,participant,5,0,True,-0.09167761064756624,0.1583942814992928,-0.40213040238618014,0.21877518109104765,0.0,0.0,,,,,,,,,,,uncertain,,
CD015014_pub2_data__A12,participant,4,0,True,0.07982302389108364,1.0002166861397719,-1.8806016809428692,2.0402477287250367,0.0,0.0,,,,,,,,,,,uncertain,,
CD002112_pub2_data__A3,participant,23,0,True,-0.42973911855609287,0.16029357972520455,-0.7439145348174938,-0.11556370229469193,0.0601869148455172,0.0855279634241108,,,,,,,,,,,uncertain,,
CD014541_pub2_data__A1,participant,4,0,True,-0.46921102958339417,0.13586249200208653,-0.7355015139074838,-0.20292054525930459,0.0,0.0,,,,,,,,,,,uncertain,,
CD001059_pub6_data__A72,participant,4,0,True,-0.10104755528995811,0.12250536418548393,-0.3411580690935066,0.1390629585135904,0.0,0.0,,,,,,,,,,,uncertain,,
CD015122_pub2_data__A20,participant,3,0,True,0.7543738405677488,1.04813565750642,-1.2999720481448342,2.808719729280332,0.0,0.0,,,,,,,,,,,uncertain,,
CD008112_pub3_data__A6,participant,205,0,True,-0.5873195711311354,0.06020074414387918,-0.7053130296531386,-0.46932611260913226,2.8960786349881356,0.794486949504245,,,,,,,,,,,benefit,,
CD014040_pub2_data__A2,participant,8,0,True,0.30436248684876366,0.15849505236003986,-0.006287815776914452,0.6150127894744417,0.08527901657352203,0.28963528224146856,,,,,,,,,,,uncertain,,
CD013344_pub2_data__A11,participant,7,0,True,0.23581952972646714,0.2912166509352537,-0.3349651061066301,0.8066041655595644,0.0,0.0,,,,,,,,,,,uncertain,,
CD014845_pub2_data__A1,participant,21,0,True,-0.33119662295725144,0.44128042306984505,-1.1961062521741477,0.5337130062596449,0.0,0.0,,,,,,,,,,,uncertain,,
CD006689_pub3_data__A22,participant,4,1,True,-0.11863146150788759,0.11751322377512131,-0.34895738010712535,0.11169445709135017,0.0,0.0,,,,,,,,,,,uncertain,,
CD012067_pub3_data__A20,participant,3,0,True,0.051172441643692335,0.5741683731862199,-1.0741975698012989,1.1765424530886834,0.0,0.0,,,,,,,,,,,uncertain,,
CD013715_pub2_data__A19,participant,4,0,True,1.18632686110324,0.2781273323193961,0.6411972897572237,1.7314564324492565,0.1818396645151868,0.3279135988100875,,,,,,,,,,,harm,,
CD014769_pub2_data__A25,participant,8,0,True,0.1012490787823658,0.0558400981621055,-0.008197513615360974,0.21069567118009258,0.0,0.0,,,,,,,,,,,uncertain,,
CD013810_pub2_data__A1,participant,4,0,True,-0.030198440137739046,1.001621367431856,-1.9933763203041768,1.9329794400286986,0.0,0.0,,,,,,,,,,,uncertain,,
CD006140_pub3_data__A7,participant,14,0,True,0.03708958887834493,0.1066661575527275,-0.17197607992500097,0.24615525768169083,0.3524495779083498,0.6515900090915407,,,,,,,,,,,uncertain,,
CD006714_pub3_data__A14,participant,3,0,True,-0.22665203089977531,1.1636645563686918,-2.507434561382411,2.0541304995828606,0.0,0.0,,,,,,,,,,,uncertain,,
CD004376_pub4_data__A1,participant,234,2,True,-0.9109618159965394,0.025777291475722053,-0.9614853072889545,-0.8604383247041242,12.52448301250723,0.987010243002462,,,,,,,,,,,benefit,,
CD014585_pub2_data__A2,participant,25,0,True,-1.4246350159813275,0.07420397571116628,-1.5700748083752134,-1.2791952235874415,0.0,0.0,,,,,,,,,,,benefit,,
CD006913_pub3_data__A12,participant,61,0,True,-0.3085673632112646,0.14207714591854964,-0.5870385692116219,-0.030096157210907304,0.0,0.0,,,,,,,,,,,uncertain,,
CD013284_pub2_data__A16,participant,5,0,True,0.15122416216581558,0.5679019601703701,-0.9618636797681098,1.2643120040997409,0.0,0.0,,,,,,,,,,,uncertain,,
CD003598_pub3_data__A4,participant,30,0,True,-0.026250300132178543,0.3682276347522597,-0.7479764642466076,0.6954758639822505,0.0,0.0,,,,,,,,,,,uncertain,,
CD014666_pub2_data__A1,participant,28,0,True,-0.16051432365713655,0.37979416035119984,-0.9049108779454883,0.5838822306312151,0.0,0.0,,,,,,,,,,,uncertain,,
CD007079_pub4_data__A1,participant,20,0,True,-0.042682477828317425,0.03291381112133227,-0.10719354762612868,0.021828591969493827,0.0024536416816886863,0.08637232664535566,,,,,,,,,,,uncertain,,
CD013294_pub2_data__A7,participant,4,0,True,-0.04040064879022695,1.0239295949504583,-2.0473026548931252,1.9665013573126715,0.0,0.0,,,,,,,,,,,uncertain,,
